"Product", "Product"
"Qty", "Qty"
"Price", "Price"
"Shipping Methods", "Shipping Methods"
"Enter discount code", "Enter discount code"
"Apply Discount", "Apply Discount"
"Cancel coupon", "Cancel coupon"
"Private", "Private"
"Business", "Business"
"Currencies are not matching with what is allowed in CollectorBank checkout","Currencies are not matching with what is allowed in CollectorBank checkout"
"Could not save order","Could not save order"
"Cart not found","Cart not found"
"Quote not found","Quote not found"
"Cart not in sync","Cart not in sync"
"Please refresh the page and try again.","Please refresh the page and try again."
"Quote total is zero","Quote total is zero"
"Quote is empty","Quote is empty"
"The url is no longer valid","The url is no longer valid"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping cart?"
"Discount: ", "Discount: "
"Currency rounding","Ã˜resavrundning"
"The order was placed using %1.","The order was placed using %1."